tiempo (s),x (m),dx (m/s),F (N)
0,0,0,1
0.1,0,1,1
0.2,0.1,1.75,1
0.3,0.275,2.3125,1
0.4,0.50625,2.73438,1
0.5,0.779688,3.05078,1
0.6,1.08477,3.28809,1
0.7,1.41357,3.46606,1
0.8,1.76018,3.59955,1
0.9,2.12014,3.69966,1
1,2.4901,3.77475,1
1.1,2.86758,3.83106,1
1.2,3.25068,3.87329,1
1.3,3.63801,3.90497,1
1.4,4.02851,3.92873,1
1.5,4.42138,3.94655,1
1.6,4.81604,3.95991,1
1.7,5.21203,3.96993,1
1.8,5.60902,3.97745,1
1.9,6.00677,3.98309,1
2,6.40507,3.98732,1
2.1,6.80381,3.99049,1
2.2,7.20285,3.99286,1
2.3,7.60214,3.99465,1
2.4,8.00161,3.99599,1
2.5,8.4012,3.99699,1
2.6,8.8009,3.99774,1
2.7,9.20068,3.99831,1
2.8,9.60051,3.99873,1
2.9,10.0004,3.99905,1
3,10.4003,3.99929,1
3.1,10.8002,3.99946,1
3.2,11.2002,3.9996,1
3.3,11.6001,3.9997,1
3.4,12.0001,3.99977,1
3.5,12.4001,3.99983,1
3.6,12.8001,3.99987,1
3.7,13.2,3.9999,1
3.8,13.6,3.99993,1
3.9,14,3.99995,1
4,14.4,3.99996,1
4.1,14.8,3.99997,1
4.2,15.2,3.99998,1
4.3,15.6,3.99998,1
4.4,16,3.99999,1
4.5,16.4,3.99999,1
4.6,16.8,3.99999,1
4.7,17.2,3.99999,1
4.8,17.6,4,1
4.9,18,4,1
5,18.4,4,1
5.1,18.8,4,1
5.2,19.2,4,1
5.3,19.6,4,1
5.4,20,4,1
5.5,20.4,4,1
5.6,20.8,4,1
5.7,21.2,4,1
5.8,21.6,4,1
5.9,22,4,1
6,22.4,4,1
6.1,22.8,4,1
6.2,23.2,4,1
6.3,23.6,4,1
6.4,24,4,1
6.5,24.4,4,1
6.6,24.8,4,1
6.7,25.2,4,1
6.8,25.6,4,1
6.9,26,4,1
7,26.4,4,1
7.1,26.8,4,1
7.2,27.2,4,1
7.3,27.6,4,1
7.4,28,4,1
7.5,28.4,4,1
7.6,28.8,4,1
7.7,29.2,4,1
7.8,29.6,4,1
7.9,30,4,1
8,30.4,4,1
8.1,30.8,4,1
8.2,31.2,4,1
8.3,31.6,4,1
8.4,32,4,1
8.5,32.4,4,1
8.6,32.8,4,1
8.7,33.2,4,1
8.8,33.6,4,1
8.9,34,4,1
9,34.4,4,1
9.1,34.8,4,1
9.2,35.2,4,1
9.3,35.6,4,1
9.4,36,4,1
9.5,36.4,4,1
9.6,36.8,4,1
9.7,37.2,4,1
9.8,37.6,4,1
9.9,38,4,1
10,38.4,4,1
